id	category	first_sign_order	ca	es	en	lsc_youtube	lse_dilse_term
abeja	animals		abella	abeja	bee	KKbriNZh4jU	abeja
abrazo	emotions		abraçar	abrazar	hug	9hfHvPH1RNs	abrazar
abrigo	clothing		abric	abrigo	coat	H_nVkCkrNVg	abrigo
abrir	actions		obert/a	abierto/a	open	temHf9yd9YI	abierto
abuela	family		àvia	abuela	grandma	Td5FKtAOBXE	abuela
abuelo	family		avi	abuelo	grandpa	Td5FKtAOBXE	abuelo
aburrido	emotions		avorrit	aburrido	bored	RF6yzo-w0-4	aburrido
acabado	food	8	acabat	acabado	all done	AoUO7gl5xf4	terminar
adios	courtesy		adéu	adiós	bye	p-4CdY_Za3M	adiós
agua	food	3	aigua	agua	water	Zn4LCkuSuxY	agua
ahora	time		ara	ahora	now	JM_OpRTge10	ahora
alto	qualities		alt	alto	tall	IfeQ8VBywig	alto
amarillo	colors		groc	amarillo	yellow	Kr9Lx7x4-eE	amarillo
amigo	family		amic	amigo	friend	Vt_ACXcWAaQ	amigo
aplaudir	actions		picar de mans	aplaudir	clap	U-vr9F0QFkY,6SOhxQtlN8w	aplaudir
arana	animals		aranya	araña	spider	HbLDonPl6Yk	araña
arbol	nature		arbre	árbol	tree	FQ0MELaFPvw	árbol
arroz	food		arròs	arroz	rice	rq4dahAw6Jo	arroz
ayuda	routines	11	ajuda	ayuda	help	LYUCagpmuIo	ayuda
azul	colors		blau	azul	blue	3jJ850uMP1U	azul
bajar	actions		baixar	bajar	go down	EB-5A5Wksig	bajar
bajo	qualities		baix	bajo	short	4fdseNmz_38	bajo
bano	routines		lavabo	baño	bathroom	oibghK4XaGI	baño
barriga	body		panxa	barriga	tummy	gm8mY9KqmVo	barriga
bebe	family		nadó	bebé	baby	9UHS-5tRBZg	bebé
beber	food		beure	beber	drink	1W3Y9fbwwpw	beber
beso	emotions		fer un petó	dar un beso	give a kiss	ms2no5xzt-I	besar
blanco	colors		blanc	blanco	white	I4oTqSzWZvQ	blanco
boca	body		boca	boca	mouth	oyWiWPgsD3c	boca
bonito	qualities		bonic	bonito	pretty	II_NkHHiADk	bonito
brazo	body		braç	brazo	arm	znxbbLrCw74	brazo
buenas-noches	courtesy		bona nit	buenas noches	good night	BeJYKJzey5I	noche
buenos-dias	courtesy		bon dia	buenos días	good morning	vVcEYElk72I	día
caballo	animals		cavall	caballo	horse	1f0W7iFKXi8	caballo
cabeza	body		cap	cabeza	head	shcaaEMwg2c	cabeza
calcetines	clothing		mitjons	calcetines	socks	MYwNLqgQiQY	calcetín
caliente	food		calent	caliente	hot	cUTqnHQveyk	caliente
calle	nature		carrer	calle	street	eKhhbYCVo_Y	calle
cama	objects		llit	cama	bed	GC8XdpBNhq8	cama
caminar	actions		caminar	caminar	walk	ilIl-lINR9s	caminar
camiseta	clothing		samarreta	camiseta	t-shirt	sMDfw78W-Ls	camiseta
cantar	actions		cantar	cantar	sing	Os9xHOS6zEQ	cantar
cerdo	animals		porc	cerdo	pig	f3u9lGFm3eY	cerdo
cerrar	actions		tancat/da	cerrado/a	closed	7V2XhdPC44E	cerrado
chupete	routines		xumet	chupete	dummy	-Z8gMJqe7ns	chupete
cinco	numbers		cinc	cinco	five	_uauzA6M5LQ	cinco
coche	objects		cotxe	coche	car	5roKTBbIR8o	coche
coger	actions		agafar	coger	take	6gdiYd0_Zis	coger
comer	food	4	menjar	comer	eat	naW8YFcVzmQ	comer
conejo	animals		conill	conejo	rabbit	QkIBbWMtMZc	conejo
contento	emotions		content	contento	happy	nGLCRJ50iGg	contento
corazon	body		cor	corazón	heart	wpVQ_-v9rA4	corazón
correr	actions		córrer	correr	run	lx_LxHBjvec	correr
cuatro	numbers		quatre	cuatro	four	4eT85kkbZXw	cuatro
cuchara	food		cullera	cuchara	spoon	cxP-g1Stv_s	cuchara
cuna	routines		llit	cama	bed	GC8XdpBNhq8	cama
dar	actions		donar	dar	give	BfPy92vjgNQ,_CtkpNqqO_4	dar
dedo	body		dit	dedo	finger	t2i7BU1g1EQ	dedo
despues	time		després	después	later	QLY5Wj7wwMk	después
dolor	emotions		mal	dolor	hurt	GNkpUMGRdcw	dolor
dormir	routines	5	dormir	dormir	sleep	lsWdkAX6eM0	dormir
dos	numbers		dos	dos	two	1btxS7sZ7R4	dos
elefante	animals		elefant	elefante	elephant	2tFebh2JrrE	elefante
empujar	actions		empènyer	empujar	push	FhB9YF2RDwA	empujar
escuchar	actions		escoltar	escuchar	listen	OBKbc0UyVsI,V8HV6eDO6F0	escuchar
esperar	routines		esperar	esperar	wait	iWUJoQvld4k	esperar
estrella	nature		estrella	estrella	star	_Y196Z2wJg4	estrella
familia	family		família	familia	family	2qOFpO86KmM	familia
flor	nature		flor	flor	flower	5t7UL6Q5AaY	flor
frio	food		fred	frío	cold	cjgYWVTxdHc	frío
fruta	food		fruita	fruta	fruit	vCujc88Sd9g	fruta
galleta	food		galeta	galleta	biscuit	ycBUa_nvfNo	galleta
gallina	animals		gallina	gallina	hen	F602q5Hxnu0	gallina
gato	animals		gat	gato	cat	kXZylIjwSJI	gato
gorro	clothing		gorra	gorro	hat	gwC40Wa7S14	gorro
gracias	courtesy		gràcies	gracias	thank you	tPEkzI15pAw	agradecer
grande	qualities		gran	grande	big	PFna7WnKGm8	grande
guantes	clothing		guants	guantes	gloves	tCGEq8FIyy4	guante
gustar	emotions		agradar	gustar	like	AoV3WzrZIVs	gustar
hermana	family		germana	hermana	sister	aRs0XzzecEs	hermana
hermano	family		germà	hermano	brother	aRs0XzzecEs	hermano
hoja	nature		fulla	hoja	leaf	acyTckph1mw	hoja
hola	courtesy		hola	hola	hello	BdEvUY_pEus	hola
hoy	time		avui	hoy	today	J4D3eZ31dJQ	hoy
huevo	food		ou	huevo	egg	LNP_PkXD30M	huevo
igual	qualities		igual	igual	same	hMer1Msvhis,J-j07qOywT4	igual
ir	actions		anar	ir	go	xEZ-kP3m17k	ir
jugar	actions		jugar	jugar	play	s9x1SRPDOsA	jugar
leche	food	1	llet	leche	milk	j7EYGZt-CJc	leche
lento	qualities		lent	lento	slow	_hVOEIJ3afg,oyyK_gmqKT4	lento
leon	animals		lleó	león	lion	3tUfgIhY4No	león
levantarse	actions		aixecar-se	levantarse	stand up	l8-fhIBHopc	levantar
libro	objects		llibre	libro	book	fNP0VVUgIdI	libro
limpio	qualities		net	limpio	clean	4vZM_Ji67t4	limpio
llaves	objects		clau	llave	key	WHl_A7Vztlw	llave
lleno	qualities		ple	lleno	full	X3zYLrUbm-A	lleno
llorar	emotions		plorar	llorar	cry	eRfW0RHmGI0	llorar
lluvia	nature		pluja	lluvia	rain	MISG6rSmDSA	lluvia
luna	nature		lluna	luna	moon	t1nEcgSihQk	luna
mama	family	6	mama	mamá	mummy	O555o1oNPEk	mamá
manana	time		demà	mañana	tomorrow	yq4_tVCbslk	mañana
manos	routines		mans	manos	hands	6mwnqa528YE	mano
manzana	food		poma	manzana	apple	iMukXk_4OBc	manzana
mar	nature		mar	mar	sea	HTdu_hf2Brc	mar
mariposa	animals		papallona	mariposa	butterfly	2_bBBR6kk9U	mariposa
marron	colors		marró	marrón	brown	zVNax6oi9OA	marrón
medico	family		metge	médico	doctor	JeJ5ns629Q0	médico
mesa	objects		taula	mesa	table	sQoa6DHmBN4	mesa
miedo	emotions		por	miedo	fear	L92ZPkaqKdU	miedo
mirar	actions		veure	ver	see	e2vWXXyKPbQ	ver
mono	animals		mico	mono	monkey	d6Tw1kFP-To	mono
montana	nature		muntanya	montaña	mountain	HfAPXpl7XJs	montaña
musica	objects		música	música	music	hMJh4N0vLJA	música
naranja	food		taronja	naranja	orange	07sap41SBiI	naranja
